ID,collected?,mainCategory,subCategory,name,type,team,requirementText,rewardText,unobtainable?,paid?,altRequirementText,season,internalSort
20,FALSE,Achievements or Trophies,Achievements or Trophies,Deep-Six,Single Player,,Destroy 3 floating mines in Operation Gladius.,,,,,0,
21,FALSE,Achievements or Trophies,Achievements or Trophies,One Stone,Single Player,,Eliminate 3 enemies with a single grenade in single player.,,,,,0,
22,FALSE,Achievements or Trophies,Achievements or Trophies,End of an Era,Single Player,,Find the dinosaur figurine in the NATO base in Always Faithful.,,,,,0,
23,FALSE,Achievements or Trophies,Achievements or Trophies,Punished,Multiplayer,,Get 129 kills in Multiplayer.,,,,,0,
24,FALSE,Achievements or Trophies,Achievements or Trophies,Stolz der Nation,Multiplayer,,Get 250 sniper rifle kills as Recon in Multiplayer.,,,,,0,
25,FALSE,Achievements or Trophies,Achievements or Trophies,Heavy Weaponry,Multiplayer,,Get 5 kills with LMGs without reloading in Multiplayer.,,,,,0,
26,FALSE,Achievements or Trophies,Achievements or Trophies,Five by Five,Multiplayer,,Get 5 multi-kills as Assault in Multiplayer.,,,,,0,
27,FALSE,Achievements or Trophies,Achievements or Trophies,1200,Multiplayer,,Get 6 sidearm headshot kills in a Multiplayer match.,,,,,0,
28,FALSE,Achievements or Trophies,Achievements or Trophies,Road Rash,Multiplayer,,Get a Roadkill with vehicles in Multiplayer.,,,,,0,
29,FALSE,Achievements or Trophies,Achievements or Trophies,Liquidator,Single Player,,Headshot kill 50 enemies in the campaign.,,,,,0,
30,FALSE,Achievements or Trophies,Achievements or Trophies,Looks Like A Nail,Single Player,,Kill five enemies with a sledgehammer in No Sleep,,,,,0,
31,FALSE,Achievements or Trophies,Achievements or Trophies,Bullseye Blitz,Single Player,,Land six consecutive headshots in Moving Mountains.,,,,,0,
32,FALSE,Achievements or Trophies,Achievements or Trophies,Collector,REDSEC,,Loot 10 Superior or Unique items.,,,,,1,
33,FALSE,Achievements or Trophies,Achievements or Trophies,First Blood 2,Multiplayer,,Perform 10 takedowns in a Multiplayer match.,,,,,0,
34,FALSE,Achievements or Trophies,Achievements or Trophies,Hounds of War,Single Player,,Pick up 10 campaign collectibles.,,,,,0,
35,FALSE,Achievements or Trophies,Achievements or Trophies,Wolves of War,Single Player,,Pick up 20 campaign collectibles.,,,,,0,
36,FALSE,Achievements or Trophies,Achievements or Trophies,Dogs of War,Single Player,,Pick up 5 campaign collectibles.,,,,,0,
37,FALSE,Achievements or Trophies,Achievements or Trophies,In Memoriam,Single Player,,Pick up a campaign collectible.,,,,,0,
38,FALSE,Achievements or Trophies,Achievements or Trophies,Pack Leader,Single Player,,Pick up every campaign collectible.,,,,,0,
39,FALSE,Achievements or Trophies,Achievements or Trophies,Mozambique Here!,REDSEC,,Ping a Shotgun in Battle Royale,,,,,1,
40,FALSE,Achievements or Trophies,Achievements or Trophies,Never-Ending Game,REDSEC,,Play 125 rounds of Gauntlet.,,,,,1,
41,FALSE,Achievements or Trophies,Achievements or Trophies,May the Odds Forever Be in Your Favor,REDSEC,,Play 74 matches in any version of Battle Royale,,,,,1,
42,FALSE,Achievements or Trophies,Achievements or Trophies,Lance Corporal Matkovic,Multiplayer,,Rank 14,,,,,0,
43,FALSE,Achievements or Trophies,Achievements or Trophies,Sergeant Redford,Multiplayer,,Rank 25,,,,,0,
44,FALSE,Achievements or Trophies,Achievements or Trophies,Private First Class Montes,Multiplayer,,Rank 9,,,,,0,
45,FALSE,Achievements or Trophies,Achievements or Trophies,Wrench Monkey,Multiplayer,,Repair vehicles for 2042 damage in Multiplayer.,,,,,0,
46,FALSE,Achievements or Trophies,Achievements or Trophies,A Joyful Nurse,Multiplayer,,Revive 1996 players as Support in Multiplayer.,,,,,0,
47,FALSE,Achievements or Trophies,Achievements or Trophies,Rise from Your Grave,REDSEC,,Revive teammates 1988 times in Battle Royale or Gauntlet,,,,,1,
48,FALSE,Achievements or Trophies,Achievements or Trophies,No Reinforcements,Single Player,,Shoot down the reinforcement chopper with a tank during Always Forward.,,,,,0,
49,FALSE,Achievements or Trophies,Achievements or Trophies,Being Watched,Single Player,,Spot a total of 20 enemies with the drone in Operation Ember Strike.,,,,,0,
50,FALSE,Achievements or Trophies,Achievements or Trophies,Stone Cold,REDSEC,,Stun enemies 316 times in Battle Royale or Gauntlet,,,,,1,
51,FALSE,Achievements or Trophies,Achievements or Trophies,Front Line,Multiplayer,,Take or Defend 41 sectors in Breakthrough.,,,,,0,
52,FALSE,Achievements or Trophies,Achievements or Trophies,Secret,REDSEC,,"Removed Nov 24, 2025",,x,,,,
53,FALSE,Achievements or Trophies,Achievements or Trophies,Army of Two,REDSEC,,Win 7 matches in Battle Royale: Duos,,,,,1,
54,FALSE,Achievements or Trophies,Achievements or Trophies,"Everybody Fights, Nobody Quits",REDSEC,,Win a Battle Royale match as a full squad with total squad survival.,,,,,1,
55,FALSE,Appearance,Coyote Squad Assault,Get Loud,,NATO,Challenge ASSAULT EXPERT 3,,,,,0,10
56,FALSE,Appearance,Coyote Squad Assault,Grey Strike,,NATO,Challenge LAND VEHICLE EXPERT 1,,,,,0,10
57,FALSE,Appearance,Coyote Squad Assault,Glacial,,NATO,Challenge LAND VEHICLE EXPERT 2,,,,,0,10
58,FALSE,Appearance,Coyote Squad Assault,Drought,,NATO,Challenge LAND VEHICLE EXPERT 3,,,,,0,10
59,TRUE,Appearance,Coyote Squad Assault,Standard Issue,,NATO,Default,,,,,0,10
60,TRUE,Appearance,Coyote Squad Assault,Bramble,,NATO,Default,,,,,0,10
61,FALSE,Appearance,Coyote Squad Assault,Regiment,,NATO,Lead the Way (Store),,,x,,1,10
62,FALSE,Appearance,Coyote Squad Assault,Crossbones,,NATO,Phantom Edition,,,x,,0,10
63,FALSE,Appearance,Coyote Squad Assault,System Override,,NATO,Razer promo Autumn 2025 (also given out for free in China and to creators),,,x,Creator Program,0,10
64,FALSE,Appearance,Coyote Squad Assault,Unflinching,,NATO,Season 1 Battle Pass Recruit Tier 4,,,x,,1,10
65,FALSE,Appearance,Coyote Squad Assault,Gravedigger,,NATO,Tombstone Pre-Order pack,,,,,0,10
66,FALSE,Appearance,Coyote Squad Engineer,Landslide,,NATO,Battlefield 6 Open Beta Twitch Drops (Watch 2 hours),,,,,0,60
67,FALSE,Appearance,Coyote Squad Engineer,Grey Strike,,NATO,Challenge COMBAT EXPERT 1,,,,,0,60
68,FALSE,Appearance,Coyote Squad Engineer,Glacial,,NATO,Challenge COMBAT EXPERT 2,,,,,0,60
69,FALSE,Appearance,Coyote Squad Engineer,Drought,,NATO,Challenge COMBAT EXPERT 3,,,,,0,60
70,FALSE,Appearance,Coyote Squad Engineer,Thunder,,NATO,Challenge ENGINEER SPECIALIST 3,,,,,0,60
71,TRUE,Appearance,Coyote Squad Engineer,Standard Issue,,NATO,Default,,,,,0,60
72,TRUE,Appearance,Coyote Squad Engineer,Bramble,,NATO,Default,,,,,0,60
73,FALSE,Appearance,Coyote Squad Engineer,Specter,,NATO,Phantom Edition,,,x,,0,60
74,FALSE,Appearance,Coyote Squad Engineer,Counter Accusation,,NATO,Season 1 Battle Pass Deniable Ops Tier 22,,,x,,1,60
75,FALSE,Appearance,Coyote Squad Engineer,Bedrock,,NATO,Unknown (Promo),,x,,,,60
76,FALSE,Appearance,Coyote Squad Recon,Grey Strike,,NATO,Challenge AERIAL COMBAT EXPERT 1,,,,,0,160
77,FALSE,Appearance,Coyote Squad Recon,Glacial,,NATO,Challenge AERIAL COMBAT EXPERT 2,,,,,0,160
78,FALSE,Appearance,Coyote Squad Recon,Drought,,NATO,Challenge AERIAL COMBAT EXPERT 3,,,,,0,160
79,FALSE,Appearance,Coyote Squad Recon,Rain Wrapped,,NATO,Challenge RECON SPECIALIST 3,,,,,0,160
80,TRUE,Appearance,Coyote Squad Recon,Standard Issue,,NATO,Default,,,,,0,160
81,TRUE,Appearance,Coyote Squad Recon,Bramble,,NATO,Default,,,,,0,160
82,FALSE,Appearance,Coyote Squad Recon,Ashfall,,NATO,Initial Strike (Store),,,x,,1,160
83,FALSE,Appearance,Coyote Squad Recon,Wraith,,NATO,Phantom Edition,,,x,,0,160
84,FALSE,Appearance,Coyote Squad Recon,Speak No Evil,,NATO,Season 1 Battle Pass Recruit Tier 0,,,x,,1,160
85,FALSE,Appearance,Coyote Squad Support,Sovereign Soldier,,NATO,Battlefield 2042: Road to Battlefield 6 Battle Pass Tier 60,,,,,0,110
86,FALSE,Appearance,Coyote Squad Support,Grey Strike,,NATO,Challenge EXPLOSIVES EXPERT 1,,,,,0,110
87,FALSE,Appearance,Coyote Squad Support,Glacial,,NATO,Challenge EXPLOSIVES EXPERT 2,,,,,0,110
88,FALSE,Appearance,Coyote Squad Support,Drought,,NATO,Challenge EXPLOSIVES EXPERT 3,,,,,0,110
89,FALSE,Appearance,Coyote Squad Support,Countershock,,NATO,Challenge SUPPORT SPECIALIST 3,,,,,0,110
90,FALSE,Appearance,Coyote Squad Support,Advance Party,,NATO,Dead Angle (Store),,,x,Battlefield 6 Beta Playstation reward,1,110
91,TRUE,Appearance,Coyote Squad Support,Standard Issue,,NATO,Default,,,,,0,110
92,TRUE,Appearance,Coyote Squad Support,Bramble,,NATO,Default,,,,,0,110
93,FALSE,Appearance,Coyote Squad Support,Switchback,,NATO,Initial Strike (Store),,,x,,1,110
94,FALSE,Appearance,Coyote Squad Support,All Terrain,,NATO,Open Beta Week 1 Challenge (reach level 15),,,,,0,110
95,FALSE,Appearance,Coyote Squad Support,Mirage,,NATO,Phantom Edition,,,x,,0,110
96,FALSE,Appearance,Coyote Squad Support,Health is Wealth,,NATO,Season 1 Battle Pass Soldiers of Fortune Tier 22,,,x,,1,110
97,FALSE,Appearance,Espada Assault,Thorn,,Pax Armata,Challenge RUSH CHALLENGE 2,,,,,0,220
98,FALSE,Appearance,Espada Assault,Urban Sprawl,,Pax Armata,Challenge RUSH CHALLENGE 3,,,,,0,220
99,FALSE,Appearance,Espada Assault,Icebreaker,,Pax Armata,Challenge RUSH CHALLENGE 4,,,,,0,220
100,FALSE,Appearance,Espada Assault,Scorched,,Pax Armata,Challenge RUSH CHALLENGE 4,,,,,0,220
101,FALSE,Appearance,Espada Assault,Standard issue,,Pax Armata,Challenge RUSH CHALLENGE 1,,,,,0,220
102,FALSE,Appearance,Espada Assault,Specter Drift,,Pax Armata,Pax Vanguard (Store),,,x,"Pax Vanguard (January 2026 version) (Store)
Vanguard Redeploy (Store)",1,220
103,FALSE,Appearance,Espada Assault,Basilisk,,Pax Armata,Shadow Assault (Store),,,x,Shadow Basilisk (Store),1,220
104,FALSE,Appearance,Espada Engineer,Ignition,,Pax Armata,Season 1 Battle Pass BF Pro Tier 0,,,x,,1,270
105,FALSE,Appearance,Espada Engineer,Commander,,Pax Armata,Battlefield 2042: Road to Battlefield 6 Battle Pass Tier 49,,,,,0,270
106,FALSE,Appearance,Espada Engineer,Urban Sprawl,,Pax Armata,Challenge CAMPAIGN - ALWAYS FORWARD,,,,,0,270
107,FALSE,Appearance,Espada Engineer,Thorn,,Pax Armata,Challenge HEADSHOT EXPERT 1,,,,,0,270
108,FALSE,Appearance,Espada Engineer,Icebreaker,,Pax Armata,Challenge HEADSHOT EXPERT 2,,,,,0,270
109,FALSE,Appearance,Espada Engineer,Scorched,,Pax Armata,Challenge HEADSHOT EXPERT 3,,,,,0,270
110,FALSE,Appearance,Espada Engineer,Standard Issue,,Pax Armata,Challenge MISSION COMPLETE 3,,,,,0,270
111,FALSE,Appearance,Espada Engineer,Nova Strike,,Pax Armata,Pax Vanguard (Store),,,x,"Pax Vanguard (January 2026 version) (Store)
Vanguard Redeploy (Store)",1,270
112,FALSE,Appearance,Espada Recon,Thorn,,Pax Armata,Challenge WEAPON EXPERT 1,,,,,0,370
113,FALSE,Appearance,Espada Recon,Icebreaker,,Pax Armata,Challenge WEAPON EXPERT 2,,,,,0,370
114,FALSE,Appearance,Espada Recon,Scorched,,Pax Armata,Challenge WEAPON EXPERT 3,,,,,0,370
115,FALSE,Appearance,Espada Recon,Urban Sprawl,,Pax Armata,CAMPAIGN - NIGHT RAID,,,,,0,370
116,FALSE,Appearance,Espada Recon,Standard Issue,,Pax Armata,Challenge MISSION READY 2,,,,,0,370
117,FALSE,Appearance,Espada Recon,Shadow Echo,,Pax Armata,Pax Vanguard (Store),,,x,"Pax Vanguard (January 2026 version) (Store)
Vanguard Redeploy (Store)",1,370
118,FALSE,Appearance,Espada Recon,Forest Sentry,,Pax Armata,Season 1 Battle Pass Rogue Operators Tier 22,,,x,,1,370
123,FALSE,Appearance,Espada Support,Thorn,,Pax Armata,Challenge SQUAD DEATHMATCH CHALLENGE 2,,,,,0,320
124,FALSE,Appearance,Espada Support,Urban Sprawl,,Pax Armata,Challenge SQUAD DEATHMATCH CHALLENGE 3,,,,,0,320
125,FALSE,Appearance,Espada Support,Icebreaker,,Pax Armata,Challenge SQUAD DEATHMATCH CHALLENGE 4,,,,,0,320
126,FALSE,Appearance,Espada Support,Scorched,,Pax Armata,Challenge SQUAD DEATHMATCH CHALLENGE 5,,,,,0,320
127,FALSE,Appearance,Espada Support,Standard Issue,,Pax Armata,Challenge SQUAD DEATHMATCH CHALLENGE 1,,,,,0,320
129,FALSE,Appearance,Espada Support,Steel Apex,,Pax Armata,Pax Vanguard (Store),,,x,"Pax Vanguard (January 2026 version) (Store)
Vanguard Redeploy (Store)",1,320
130,FALSE,Appearance,Espada Support,Dogfight,,Pax Armata,Rogue Rivalry (Store),,,x,,1,320
131,FALSE,Appearance,Espada Support,Jump In,,Pax Armata,"Battlefield Veteran reward (before Oct 10, 2027)",,,,,1,320
132,FALSE,Appearance,Fireteam Vedmak Assault,Imperial,,Pax Armata,Battlefield 6 Open Beta Twitch Drops (Watch 4 hours),,,,,0,210
133,FALSE,Appearance,Fireteam Vedmak Assault,Scorcher,,Pax Armata,Challenge ASSAULT EXPERT 3,,,,,0,210
134,FALSE,Appearance,Fireteam Vedmak Assault,Polysteel,,Pax Armata,Challenge LAND VEHICLE EXPERT 1,,,,,0,210
135,FALSE,Appearance,Fireteam Vedmak Assault,Avalanche,,Pax Armata,Challenge LAND VEHICLE EXPERT 2,,,,,0,210
136,FALSE,Appearance,Fireteam Vedmak Assault,Sandstone,,Pax Armata,Challenge LAND VEHICLE EXPERT 3,,,,,0,210
137,TRUE,Appearance,Fireteam Vedmak Assault,Standard Issue,,Pax Armata,Default,,,,,0,210
138,TRUE,Appearance,Fireteam Vedmak Assault,Evergreen,,Pax Armata,Default,,,,,0,210
139,FALSE,Appearance,Fireteam Vedmak Assault,Going Dark,,Pax Armata,Rogue Ops pack (Store),,,x,,1,210
140,FALSE,Appearance,Fireteam Vedmak Assault,Wellspring,,Pax Armata,Season 1 Battle Pass Soldiers of Fortune Tier 7,,,x,,1,210
141,FALSE,Appearance,Fireteam Vedmak Engineer,Versatile,,Pax Armata,Battlefield 6 Launch Twitch Drops (subscribe to an eligible streamer),,,x,Creator Program,0,260
142,FALSE,Appearance,Fireteam Vedmak Engineer,Polysteel,,Pax Armata,Challenge COMBAT EXPERT 1,,,,,0,260
143,FALSE,Appearance,Fireteam Vedmak Engineer,Avalanche,,Pax Armata,Challenge COMBAT EXPERT 2,,,,,0,260
144,FALSE,Appearance,Fireteam Vedmak Engineer,Sandstone,,Pax Armata,Challenge COMBAT EXPERT 3,,,,,0,260
145,FALSE,Appearance,Fireteam Vedmak Engineer,Brazer,,Pax Armata,Challenge ENGINEER SPECIALIST 3,,,,,0,260
146,TRUE,Appearance,Fireteam Vedmak Engineer,Standard Issue,,Pax Armata,Default,,,,,0,260
147,TRUE,Appearance,Fireteam Vedmak Engineer,Evergreen,,Pax Armata,Default,,,,,0,260
148,FALSE,Appearance,Fireteam Vedmak Engineer,Fragmentation,,Pax Armata,Season 1 Battle Pass Rogue Operators Tier 7,,,x,,1,260
149,FALSE,Appearance,Fireteam Vedmak Recon,Polysteel,,Pax Armata,Challenge AERIAL COMBAT EXPERT 1,,,,,0,360
150,FALSE,Appearance,Fireteam Vedmak Recon,Avalanche,,Pax Armata,Challenge AERIAL COMBAT EXPERT 2,,,,,0,360
151,FALSE,Appearance,Fireteam Vedmak Recon,Sandstone,,Pax Armata,Challenge AERIAL COMBAT EXPERT 3,,,,,0,360
152,FALSE,Appearance,Fireteam Vedmak Recon,Dead Sight,,Pax Armata,Challenge RECON SPECIALIST 3,,,,,0,360
153,TRUE,Appearance,Fireteam Vedmak Recon,Standard Issue,,Pax Armata,Default,,,,,0,360
154,TRUE,Appearance,Fireteam Vedmak Recon,Evergreen,,Pax Armata,Default,,,,,0,360
155,FALSE,Appearance,Fireteam Vedmak Recon,Seeker,,Pax Armata,Open Beta Week 1 Challenge (Spot 300 Enemies),,,,,0,360
156,FALSE,Appearance,Fireteam Vedmak Recon,Blooded,,Pax Armata,Season 1 Battle Pass Pacific Ghosts Tier 8,,,x,,1,360
157,FALSE,Appearance,Fireteam Vedmak Recon,Far Sight,,Pax Armata,Season 1 Battle Pass Frostfire Tier 11,,,,,1,360
158,FALSE,Appearance,Fireteam Vedmak Recon,Jungle Tiger,,Pax Armata,"Free Store Gift (Season 1, Week 5)",,,,,1,360
159,FALSE,Appearance,Fireteam Vedmak Support,Polysteel,,Pax Armata,Challenge PROTECTION EXPERT 1,,,,,0,310
160,FALSE,Appearance,Fireteam Vedmak Support,Avalanche,,Pax Armata,Challenge PROTECTION EXPERT 2,,,,,0,310
161,FALSE,Appearance,Fireteam Vedmak Support,Sandstone,,Pax Armata,Challenge PROTECTION EXPERT 3,,,,,0,310
162,FALSE,Appearance,Fireteam Vedmak Support,Copperpulse,,Pax Armata,Challenge SUPPORT SPECIALIST 3,,,,,0,310
163,TRUE,Appearance,Fireteam Vedmak Support,Standard Issue,,Pax Armata,Default,,,,,0,310
164,TRUE,Appearance,Fireteam Vedmak Support,Evergreen,,Pax Armata,Default,,,,,0,310
165,FALSE,Appearance,Fireteam Vedmak Support,Bad Medicine,,Pax Armata,Season 1 Battle Pass Recruit Tier 0,,,x,,1,310
166,FALSE,Appearance,Fireteam Vedmak Support,Flatline,,Pax Armata,Tactical Step (Store),,,x,,1,310
167,FALSE,Appearance,Kahina Unité Assault,Snare,,Pax Armata,Challenge ESCALATION CHALLENGE 2,,,,,0,230
168,FALSE,Appearance,Kahina Unité Assault,Ironclad,,Pax Armata,Challenge ESCALATION CHALLENGE 3,,,,,0,230
169,FALSE,Appearance,Kahina Unité Assault,Polar,,Pax Armata,Challenge ESCALATION CHALLENGE 4,,,,,0,230
170,FALSE,Appearance,Kahina Unité Assault,Sunstroke,,Pax Armata,Challenge ESCALATION CHALLENGE 4,,,,,0,230
171,FALSE,Appearance,Kahina Unité Assault,Standard Issue,,Pax Armata,Challenge ESCALATION CHALLENGE 1,,,,,0,230
172,FALSE,Appearance,Kahina Unité Assault,Wicked Grin,,Pax Armata,"Free Store Gift (Season 1, Week 11)",,,,,1,230
173,FALSE,Appearance,Kahina Unité Assault,Limited Hangout,,Pax Armata,Season 1 Battle Pass Deniable Ops Tier 5,,,x,,1,230
174,FALSE,Appearance,Kahina Unité Engineer,Snare,,Pax Armata,Challenge BREAKTHROUGH CHALLENGE 2,,,,,0,280
175,FALSE,Appearance,Kahina Unité Engineer,Ironclad,,Pax Armata,Challenge BREAKTHROUGH CHALLENGE 3,,,,,0,280
176,FALSE,Appearance,Kahina Unité Engineer,Polar,,Pax Armata,Challenge BREAKTHROUGH CHALLENGE 4,,,,,0,280
177,FALSE,Appearance,Kahina Unité Engineer,Sunstroke,,Pax Armata,Challenge BREAKTHROUGH CHALLENGE 4,,,,,0,280
178,FALSE,Appearance,Kahina Unité Engineer,Standard Issue,,Pax Armata,Challenge BREAKTHROUGH CHALLENGE 1,,,,,0,280
179,FALSE,Appearance,Kahina Unité Engineer,Heartstopper,,Pax Armata,Season 1 Battle Pass Pacific Ghosts Tier 19,,,x,,1,280
180,FALSE,Appearance,Kahina Unité Engineer,Venomous Pulse,,Pax Armata,Viper Command (Store),,,x,,1,280
181,FALSE,Appearance,Kahina Unité Recon,Havoc,,Pax Armata,Challenge Battle Pass S1 Challenge 5,,,x,,1,380
182,FALSE,Appearance,Kahina Unité Recon,Snare,,Pax Armata,Challenge GAUNTLET PRIVATE CHALLENGE 2,,,,,1,380
183,FALSE,Appearance,Kahina Unité Recon,Ironclad,,Pax Armata,Challenge GAUNTLET PRIVATE CHALLENGE 3,,,,,1,380
184,FALSE,Appearance,Kahina Unité Recon,Polar,,Pax Armata,Challenge GAUNTLET PRIVATE CHALLENGE 4,,,,,1,380
185,FALSE,Appearance,Kahina Unité Recon,Sunstroke,,Pax Armata,Challenge GAUNTLET PRIVATE CHALLENGE 5,,,,,1,380
186,FALSE,Appearance,Kahina Unité Recon,Standard Issue,,Pax Armata,Challenge GAUNTLET PRIVATE CHALLENGE 1,,,,,1,380
187,FALSE,Appearance,Kahina Unité Recon,Valor Guard,,Pax Armata,Serve and Sacrifice (Store),,,x,,1,380
188,FALSE,Appearance,Kahina Unité Recon,Phantasm,,Pax Armata,Viper Command (Store),,,x,,1,380
189,FALSE,Appearance,Kahina Unité Support,Snare,,Pax Armata,Challenge BATTLE ROYALE PRIVATE CHALLENGE 2,,,,,1,330
190,FALSE,Appearance,Kahina Unité Support,Ironclad,,Pax Armata,Challenge BATTLE ROYALE PRIVATE CHALLENGE 3,,,,,1,330
191,FALSE,Appearance,Kahina Unité Support,Polar,,Pax Armata,Challenge BATTLE ROYALE PRIVATE CHALLENGE 4,,,,,1,330
192,FALSE,Appearance,Kahina Unité Support,Sunstroke,,Pax Armata,Challenge BATTLE ROYALE PRIVATE CHALLENGE 4,,,,,1,330
193,FALSE,Appearance,Kahina Unité Support,Standard Issue,,Pax Armata,Challenge BATTLE ROYALE PRIVATE CHALLENGE 1,,,,,1,330
194,FALSE,Appearance,Panopticon 8 Brodie,Standard Issue,,Pax Armata,Season 1 Battle Pass Recruit Tier 0,,,x,,1,340
195,FALSE,Appearance,Panopticon 8 Brodie,Spiteful Mirage,,Pax Armata,Season 1 Battle Pass Ultimate Tier 7,,,x,,1,340
196,FALSE,Appearance,Panopticon 8 Holm,Standard Issue,,Pax Armata,Season 1 Battle Pass Pacific Ghosts Tier 11,,,x,,1,290
197,FALSE,Appearance,Panopticon 8 Mackenzie,Standard Issue,,Pax Armata,Season 1 Battle Pass Deniable Ops Tier 11,,,x,,1,390
198,FALSE,Appearance,Panopticon 8 Saito,Standard Issue,,Pax Armata,Season 1 Battle Pass Rogue Operators Tier 11,,,x,,1,240
199,FALSE,Appearance,The Desert Locusts Assault,Gridlock,,NATO,Challenge CAMPAIGN - OPERATION EMBER STRIKE,,,,,0,30
200,FALSE,Appearance,The Desert Locusts Assault,Bracken,,NATO,Challenge EXPLOSIVES EXPERT 1,,,,,0,30
201,FALSE,Appearance,The Desert Locusts Assault,Coldfront,,NATO,Challenge PROTECTION EXPERT 2,,,,,0,30
202,FALSE,Appearance,The Desert Locusts Assault,Heatwave,,NATO,Challenge WEAPON EXPERT 3,,,,,0,30
203,FALSE,Appearance,The Desert Locusts Assault,Standard Issue,,NATO,Challenge MISSION COMPLETE 2,,,,,0,30
204,FALSE,Appearance,The Desert Locusts Assault,Fearmonger,,NATO,Spectral Division (Store),,,x,,1,30
205,FALSE,Appearance,The Desert Locusts Engineer,Bracken,,NATO,Challenge CONQUEST CHALLENGE 2,,,,,0,80
206,FALSE,Appearance,The Desert Locusts Engineer,Gridlock,,NATO,Challenge CONQUEST CHALLENGE 3,,,,,0,80
207,FALSE,Appearance,The Desert Locusts Engineer,Coldfront,,NATO,Challenge CONQUEST CHALLENGE 4,,,,,0,80
208,FALSE,Appearance,The Desert Locusts Engineer,Heatwave,,NATO,Challenge CONQUEST CHALLENGE 4,,,,,0,80
209,FALSE,Appearance,The Desert Locusts Engineer,Standard Issue,,NATO,Challenge CONQUEST CHALLENGE 1,,,,,0,80
210,FALSE,Appearance,The Desert Locusts Engineer,Samhain,,NATO,Spectral Division (Store),,,x,,1,80
211,FALSE,Appearance,The Desert Locusts Recon,Bracken,,NATO,Challenge DOMINATION CHALLENGE 2,,,,,0,180
212,FALSE,Appearance,The Desert Locusts Recon,Gridlock,,NATO,Challenge DOMINATION CHALLENGE 3,,,,,0,180
213,FALSE,Appearance,The Desert Locusts Recon,Coldfront,,NATO,Challenge DOMINATION CHALLENGE 4,,,,,0,180
214,FALSE,Appearance,The Desert Locusts Recon,Heatwave,,NATO,Challenge DOMINATION CHALLENGE 4,,,,,0,180
215,FALSE,Appearance,The Desert Locusts Recon,Standard Issue,,NATO,Challenge DOMINATION CHALLENGE 1,,,,,0,180
216,FALSE,Appearance,The Desert Locusts Support,Bracken,,NATO,Challenge ADAPTABLE 1,,,,,0,130
217,FALSE,Appearance,The Desert Locusts Support,Coldfront,,NATO,Challenge ADAPTABLE 2,,,,,0,130
218,FALSE,Appearance,The Desert Locusts Support,Heatwave,,NATO,Challenge ADAPTABLE 3,,,,,0,130
219,FALSE,Appearance,The Desert Locusts Support,Gridlock,,NATO,Challenge CAMPAIGN - NO SLEEP,,,,,0,130
